05:37:03.304 : RiddlerController.RiddleForm.RiddleForm()-started
05:37:03.361 : RiddlerController.RiddleForm.RiddleForm()-ended
05:37:03.374 : RiddlerController.RiddleForm.extraInitializations()-started
05:37:03.374 : RiddlerController.RiddleForm.extraInitializations()-ended
05:37:03.375 : RiddlerController.RiddleOnlyLetter.setup_riddle()-started
05:37:03.375 : RiddlerController.RiddleOnlyLetter.setup_riddle()-ended
05:37:04.316 : RiddleController.Form1.activateRiddle()
05:37:04.318 : RiddleController.Form1.activateRiddle()-before rf.show()
05:37:04.383 : RiddleController.Form1.activateRiddle()-after rf.show()
05:37:04.384 : RiddlerController.RiddleOnlyLetter.display_riddle()-started
05:37:04.403 : RiddlerController.RiddleOnlyLetter.display_riddle()-ended
05:37:04.404 : After Run
05:40:26.694 : RiddlerController.RiddleForm.RiddleForm()-started
05:40:26.740 : RiddlerController.RiddleForm.RiddleForm()-ended
05:40:26.746 : RiddlerController.RiddleForm.extraInitializations()-started
05:40:26.746 : RiddlerController.RiddleForm.extraInitializations()-ended
05:40:26.747 : RiddlerController.RiddleOnlyLetter.setup_riddle()-started
05:40:26.747 : RiddlerController.RiddleOnlyLetter.setup_riddle()-ended
05:40:27.700 : RiddleController.Form1.activateRiddle()
05:40:27.701 : RiddleController.Form1.activateRiddle()-before rf.show()
05:40:27.747 : RiddlerController.RiddleOnlyLetter.RiddleOnlyLetter_Load()-started
05:40:27.763 : RiddleController.Form1.activateRiddle()-after rf.show()
05:40:27.764 : RiddlerController.RiddleOnlyLetter.display_riddle()-started
05:40:27.787 : RiddlerController.RiddleOnlyLetter.display_riddle()-ended
05:40:27.787 : After Run
05:44:53.045 : RiddlerController.RiddleForm.RiddleForm()-started
05:44:53.088 : RiddlerController.RiddleForm.RiddleForm()-ended
05:44:53.093 : RiddlerController.RiddleForm.extraInitializations()-started
05:44:53.093 : RiddlerController.RiddleForm.extraInitializations()-ended
05:44:54.056 : RiddleController.Form1.activateRiddle()
05:44:54.058 : RiddleController.Form1.activateRiddle()-before rf.show()
05:44:54.115 : RiddleController.Form1.activateRiddle()-after rf.show()
05:44:54.116 : After Run
05:45:12.903 : RiddlerController.RiddleForm.RiddleForm()-started
05:45:12.948 : RiddlerController.RiddleForm.RiddleForm()-ended
05:45:12.952 : RiddlerController.RiddleForm.extraInitializations()-started
05:45:12.953 : RiddlerController.RiddleForm.extraInitializations()-ended
05:45:13.913 : RiddleController.Form1.activateRiddle()
05:45:13.914 : RiddleController.Form1.activateRiddle()-before rf.show()
05:45:13.971 : RiddleController.Form1.activateRiddle()-after rf.show()
05:45:13.973 : After Run
05:45:52.137 : RiddlerController.RiddleForm.RiddleForm()-started
05:45:52.169 : RiddlerController.RiddleForm.RiddleForm()-ended
05:45:52.173 : RiddlerController.RiddleForm.extraInitializations()-started
05:45:52.173 : RiddlerController.RiddleForm.extraInitializations()-ended
05:45:52.174 : RiddlerController.RiddleForm.setup_riddle()-started
05:45:52.175 : RiddlerController.RiddleForm.setup_riddle()-ended
05:45:53.154 : RiddleController.Form1.activateRiddle()
05:45:53.156 : RiddleController.Form1.activateRiddle()-before rf.show()
05:45:53.203 : RiddleController.Form1.activateRiddle()-after rf.show()
05:45:53.204 : After Run
05:46:00.877 : RiddleForm_KeyDown(e.KeyCode=Z, e.KeyValue=90)
08:13:16.328 : RiddleForm_KeyDown(e.KeyCode=F11, e.KeyValue=122)
08:13:16.982 : RiddleForm_KeyDown(e.KeyCode=F9, e.KeyValue=120)
08:13:17.297 : RiddleForm_KeyDown(e.KeyCode=F5, e.KeyValue=116)
08:13:17.344 : After Run
08:16:17.577 : RiddleForm_KeyDown(e.KeyCode=VolumeUp, e.KeyValue=175)
08:16:18.069 : RiddleForm_KeyDown(e.KeyCode=VolumeUp, e.KeyValue=175)
08:16:18.102 : RiddleForm_KeyDown(e.KeyCode=VolumeUp, e.KeyValue=175)
08:16:18.134 : RiddleForm_KeyDown(e.KeyCode=VolumeUp, e.KeyValue=175)
08:16:18.167 : RiddleForm_KeyDown(e.KeyCode=VolumeUp, e.KeyValue=175)
08:16:18.199 : RiddleForm_KeyDown(e.KeyCode=VolumeUp, e.KeyValue=175)
08:16:18.232 : RiddleForm_KeyDown(e.KeyCode=VolumeUp, e.KeyValue=175)
08:16:18.265 : RiddleForm_KeyDown(e.KeyCode=VolumeUp, e.KeyValue=175)
08:16:18.297 : RiddleForm_KeyDown(e.KeyCode=VolumeUp, e.KeyValue=175)
08:16:18.330 : RiddleForm_KeyDown(e.KeyCode=VolumeUp, e.KeyValue=175)
08:16:18.363 : RiddleForm_KeyDown(e.KeyCode=VolumeUp, e.KeyValue=175)
08:16:18.395 : RiddleForm_KeyDown(e.KeyCode=VolumeUp, e.KeyValue=175)
08:16:18.430 : RiddleForm_KeyDown(e.KeyCode=VolumeUp, e.KeyValue=175)
08:16:18.460 : RiddleForm_KeyDown(e.KeyCode=VolumeUp, e.KeyValue=175)
08:16:18.493 : RiddleForm_KeyDown(e.KeyCode=VolumeUp, e.KeyValue=175)
08:16:18.526 : RiddleForm_KeyDown(e.KeyCode=VolumeUp, e.KeyValue=175)
08:16:18.559 : RiddleForm_KeyDown(e.KeyCode=VolumeUp, e.KeyValue=175)
08:16:18.592 : RiddleForm_KeyDown(e.KeyCode=VolumeUp, e.KeyValue=175)
08:16:18.624 : RiddleForm_KeyDown(e.KeyCode=VolumeUp, e.KeyValue=175)
08:16:18.657 : RiddleForm_KeyDown(e.KeyCode=VolumeUp, e.KeyValue=175)
08:16:18.690 : RiddleForm_KeyDown(e.KeyCode=VolumeUp, e.KeyValue=175)
08:16:18.722 : RiddleForm_KeyDown(e.KeyCode=VolumeUp, e.KeyValue=175)
08:16:18.756 : RiddleForm_KeyDown(e.KeyCode=VolumeUp, e.KeyValue=175)
08:16:19.174 : RiddleForm_KeyDown(e.KeyCode=VolumeUp, e.KeyValue=175)
08:16:19.706 : RiddleForm_KeyDown(e.KeyCode=VolumeUp, e.KeyValue=175)
08:16:19.708 : RiddleForm_KeyDown(e.KeyCode=VolumeUp, e.KeyValue=175)
08:16:19.735 : RiddleForm_KeyDown(e.KeyCode=VolumeUp, e.KeyValue=175)
08:16:19.768 : RiddleForm_KeyDown(e.KeyCode=VolumeUp, e.KeyValue=175)
08:16:19.800 : RiddleForm_KeyDown(e.KeyCode=VolumeUp, e.KeyValue=175)
08:16:19.833 : RiddleForm_KeyDown(e.KeyCode=VolumeUp, e.KeyValue=175)
08:16:19.867 : RiddleForm_KeyDown(e.KeyCode=VolumeUp, e.KeyValue=175)
